"Date","Price","Open","High","Low","Change %"
"Oct 28, 2016","1.1091","1.1163","1.1187","1.1091","-0.63%"
"Oct 27, 2016","1.1161","1.1228","1.1245","1.1136","-0.57%"
"Oct 26, 2016","1.1225","1.1194","1.1233","1.1153","0.28%"
"Oct 25, 2016","1.1194","1.1243","1.1254","1.1133","-0.47%"
"Oct 24, 2016","1.1247","1.1232","1.1261","1.1204","0.04%"
"Oct 21, 2016","1.1242","1.1213","1.1265","1.1186","0.29%"
"Oct 20, 2016","1.1209","1.1194","1.1225","1.1076","0.11%"
"Oct 19, 2016","1.1197","1.1195","1.1238","1.1163","-0.02%"
"Oct 18, 2016","1.1199","1.1074","1.1222","1.1066","1.10%"
"Oct 17, 2016","1.1077","1.1104","1.1112","1.1039","-0.28%"
"Oct 14, 2016","1.1108","1.1083","1.1144","1.1052","0.22%"
"Oct 13, 2016","1.1084","1.1094","1.1117","1.1030","-0.05%"
"Oct 12, 2016","1.1089","1.0964","1.1157","1.0949","1.11%"
"Oct 11, 2016","1.0967","1.1103","1.1121","1.0940","-1.19%"
"Oct 10, 2016","1.1099","1.1098","1.1139","1.1062","-0.02%"
"Oct 07, 2016","1.1101","1.1316","1.1328","1.0606","-1.87%"
"Oct 06, 2016","1.1313","1.1370","1.1384","1.1295","-0.56%"
"Oct 05, 2016","1.1377","1.1359","1.1398","1.1307","0.16%"
"Oct 04, 2016","1.1359","1.1456","1.1486","1.1347","-0.85%"
"Oct 03, 2016","1.1456","1.1517","1.1529","1.1433","-0.75%"
"Sep 30, 2016","1.1543","1.1557","1.1626","1.1527","-0.11%"
"Sep 29, 2016","1.1556","1.1607","1.1640","1.1535","-0.44%"
"Sep 28, 2016","1.1607","1.1611","1.1645","1.1574","-0.03%"
"Sep 27, 2016","1.1611","1.1533","1.1617","1.1501","0.71%"
"Sep 26, 2016","1.1529","1.1535","1.1565","1.1468","-0.24%"
"Sep 23, 2016","1.1557","1.1669","1.1688","1.1521","-0.96%"
"Sep 22, 2016","1.1669","1.1635","1.1680","1.1610","0.22%"
"Sep 21, 2016","1.1643","1.1645","1.1678","1.1617","-0.01%"
"Sep 20, 2016","1.1644","1.1661","1.1681","1.1584","-0.14%"
"Sep 19, 2016","1.1660","1.1641","1.1719","1.1639","0.07%"
"Sep 16, 2016","1.1652","1.1778","1.1792","1.1647","-1.04%"
"Sep 15, 2016","1.1774","1.1761","1.1808","1.1699","0.09%"
"Sep 14, 2016","1.1764","1.1759","1.1789","1.1701","0.03%"
"Sep 13, 2016","1.1760","1.1871","1.1881","1.1717","-0.94%"
"Sep 12, 2016","1.1872","1.1813","1.1881","1.1787","0.52%"
"Sep 09, 2016","1.1811","1.1809","1.1856","1.1790","0.03%"
