"","Date","Headline","Description","HeadlineTerms","DescriptionTerms"
"82","2019-04-11","May defends Brexit delay, critic asks her to resign","British Prime Minister Theresa May defended her decision to delay Brexit and seek a compromise exit plan with the opposition Labour Party as one angry lawmaker from her own party stood up in parliament on Thursday and asked her to resign.","may, defends, brexit, delay, critic, asks, resign","british, prime, minister, theresa, may, defended, decision, delay, brexit, seek, compromise, exit, plan, opposition, labour, party, one, angry, lawmaker, party, stood, parliament, thursday, asked, resign"
"83","2019-04-11","May and Labour leader held talks on breaking Brexit deadlock","British Prime Minister Theresa May and opposition Labour leader Jeremy Corbyn held talks in parliament on Thursday aimed at finding a way out the Brexit impasse.","may, labour, leader, held, talks, breaking, brexit, deadlock","british, prime, minister, theresa, may, opposition, labour, leader, jeremy, corbyn, held, talks, parliament, thursday, aimed, finding, way, brexit, impasse"
"85","2019-04-11","What happens after Oct. 31? Some in EU already imagine another Brexit delay","The ink was not yet dry on EU leaders' deal to give Britain a hard-fought, second delay to Brexit until November when some diplomats and officials in the bloc grudgingly conceded: This may well not be the last extension.","happens, oct, eu, already, imagine, another, brexit, delay","ink, yet, dry, eu, leaders, deal, give, britain, hard, fought, second, delay, brexit, november, diplomats, officials, bloc, grudgingly, conceded, may, well, last, extension"
"89","2019-04-11","May evoked Blitz spirit to show EU Brexit progress","Theresa May told fellow European Union leaders that she was taking emergency political measures not seen in Britain since World War Two as she urged them to give her more time to clinch a deal for an orderly Brexit.","may, evoked, blitz, spirit, show, eu, brexit, progress","theresa, may, told, fellow, european, union, leaders, taking, emergency, political, measures, seen, britain, since, world, war, two, urged, give, time, clinch, deal, orderly, brexit"
"97","2019-04-11","EU gives May till October for Brexit, seeking clarity","European Union leaders gave Britain six more months to leave the bloc, more than Prime Minister Theresa May says she needs but less than many in the bloc wanted, thanks to fierce resistance from France.","eu, gives, may, till, october, brexit, seeking, clarity","european, union, leaders, gave, britain, six, months, leave, bloc, prime, minister, theresa, may, says, needs, less, many, bloc, wanted, thanks, fierce, resistance, france"
"99","2019-04-11","With Halloween the new Brexit deadline, MPs head off on holiday","After the European Union agreed to delay Brexit by six months to end-October, European Council President Donald Tusk pleaded with Britain: ""don't waste this time"". Hours later, British lawmakers are heading off for a more than week-long Easter break.","halloween, new, brexit, deadline, mps, head, holiday","european, union, agreed, delay, brexit, six, months, end, october, european, council, president, donald, tusk, pleaded, britain, don, t, waste, time, hours, later, british, lawmakers, heading, week, long, easter, break"
"102","2019-04-11","May willing to talk about an EU customs union - minister","British Prime Minister Theresa May's government is willing to discuss a possible customs union with the European Union in talks with the opposition Labour Party to end the Brexit impasse, a government minister was quoted as saying.","may, willing, talk, eu, customs, union, minister","british, prime, minister, theresa, may, s, government, willing, discuss, possible, customs, union, european, union, talks, opposition, labour, party, end, brexit, impasse, government, minister, quoted, saying"
"105","2019-04-11","Explainer: Can anyone force May to resign?","British Prime Minister Theresa May faces increased pressure to quit after failing to lead the country out of the European Union on schedule, with members of her own Conservative Party calling for a more pro-Brexit replacement.","explainer, can, anyone, force, may, resign","british, prime, minister, theresa, may, faces, increased, pressure, quit, failing, lead, country, european, union, schedule, members, conservative, party, calling, pro, brexit, replacement"
"106","2019-04-11","DUP leader Foster says Irish ""backstop"" still critical issue","Finding a solution for the Irish border after Britain leaves the European Union remains a critical issue for Northern Ireland's Democratic Unionist Party, its leader said on Thursday after meeting the EU's Brexit negotiator in Brussels.","dup, leader, foster, says, irish, backstop, still, critical, issue","finding, solution, irish, border, britain, leaves, european, union, remains, critical, issue, northern, ireland, s, democratic, unionist, party, leader, said, thursday, meeting, eu, s, brexit, negotiator, brussels"
"110","2019-04-11","Brexit will happen by end-October - Irish finance minister","Ireland's finance minister said he believes Britain will leave the European Union when the latest extension to Brexit talks expires at the end of October and that the country must continue to prepare for all scenarios.","brexit, will, happen, end, october, irish, finance, minister","ireland, s, finance, minister, said, believes, britain, will, leave, european, union, latest, extension, brexit, talks, expires, end, october, country, must, continue, prepare, scenarios"
"112","2019-04-11","Britain should decide on Brexit options by October - EU's Verhofstadt","Britain should scrap its decision to leave the European Union, agree a deal with the Labour Party or launch a second referendum on the issue, the European Parliament's Brexit coordinator said on Thursday, hours after the bloc set an October deadline for its withdrawal.","britain, decide, brexit, options, october, eu, s, verhofstadt","britain, scrap, decision, leave, european, union, agree, deal, labour, party, launch, second, referendum, issue, european, parliament, s, brexit, coordinator, said, thursday, hours, bloc, set, october, deadline, withdrawal"
"113","2019-04-11","German Economy Minister - Brexit extension is good news for all of us","German Economy Minister Peter Altmaier said on Thursday that European Union leaders' decision to give Britain an extra six months to leave the bloc was a good move and would enable the bloc to focus on other pressing issues.","german, economy, minister, brexit, extension, good, news, us","german, economy, minister, peter, altmaier, said, thursday, european, union, leaders, decision, give, britain, extra, six, months, leave, bloc, good, move, enable, bloc, focus, pressing, issues"
"114","2019-04-11","German conservative - A longer Brexit extension would have been better","A longer Brexit extension would have been better, a senior German conservative said on Thursday, after European Union leaders gave Britain six more months to leave the bloc.","german, conservative, longer, brexit, extension, better","longer, brexit, extension, better, senior, german, conservative, said, thursday, european, union, leaders, gave, britain, six, months, leave, bloc"
"115","2019-04-11","Special Report: Wish You Weren't Here - Postcards from the Edge of London in the Age of Brexit","Every Friday morning, a pensioner and his grandson gaze across a vast demolition site in east London, one of them remembering a life working at the Ford factory there and the other wishing he could help tear its old buildings down.","special, report, wish, weren, t, postcards, edge, london, age, brexit","every, friday, morning, pensioner, grandson, gaze, across, vast, demolition, site, east, london, one, remembering, life, working, ford, factory, wishing, help, tear, old, buildings"
"116","2019-04-11","Additional Brexit extension possible, says EU's Oettinger","A second referendum on Britain's withdrawal from the European Union, snap elections, and an additional Brexit extension are among the possible options for Britain, EU Commissioner Guenther Oettinger said on Thursday.","additional, brexit, extension, possible, says, eu, s, oettinger","second, referendum, britain, s, withdrawal, european, union, snap, elections, additional, brexit, extension, among, possible, options, britain, eu, commissioner, guenther, oettinger, said, thursday"
"117","2019-04-11","EU's Tusk tells UK - ""Don't waste Brexit overtime""","European Council President Donald Tusk told Britain on Thursday not to waste the extra time to sort out Brexit after the EU agreed a second delay to London's departure until Oct.31.","eu, s, tusk, tells, uk, don, t, waste, brexit, overtime","european, council, president, donald, tusk, told, britain, thursday, waste, extra, time, sort, brexit, eu, agreed, second, delay, london, s, departure, oct"
"118","2019-04-11","No-deal Brexit remains possible, says French government spokeswoman","A ""no-deal"" Brexit remains a possibility, French government spokeswoman Sibeth Ndiaye told French TV station CNews on Thursday.","deal, brexit, remains, possible, says, french, government, spokeswoman","deal, brexit, remains, possibility, french, government, spokeswoman, sibeth, ndiaye, told, french, tv, station, cnews, thursday"
"119","2019-04-11","France's Macron stands by tough stance on shorter Brexit delay","French President Emmanuel Macron said on Thursday he took responsibility for blocking a long Brexit delay and convincing other European Union leaders to agree to a shorter one in order to preserve the functioning of the EU.","france, s, macron, stands, tough, stance, shorter, brexit, delay","french, president, emmanuel, macron, said, thursday, took, responsibility, blocking, long, brexit, delay, convincing, european, union, leaders, agree, shorter, one, order, preserve, functioning, eu"
"120","2019-04-11","Brexit - German minister says all options for Britain on the table","Germany's EU Affairs Minister Michael Roth said on Thursday all options are on the table for Britain after European Union leaders gave London six more months to leave the bloc.","brexit, german, minister, says, options, britain, table","germany, s, eu, affairs, minister, michael, roth, said, thursday, options, table, britain, european, union, leaders, gave, london, six, months, leave, bloc"
"121","2019-04-11","Acknowledging frustration, May calls on parliament to deliver Brexit","British Prime Minister Theresa May acknowledged on Thursday there was ""huge frustration"" that she had to request a second delay to Brexit from the European Union, urging parliament to finally support her Brexit deal.","acknowledging, frustration, may, calls, parliament, deliver, brexit","british, prime, minister, theresa, may, acknowledged, thursday, huge, frustration, request, second, delay, brexit, european, union, urging, parliament, finally, support, brexit, deal"
"122","2019-04-11","New Brexit delay is likely to be the last - Dutch PM Rutte","A further delay of Britain's departure from the EU after the newly agreed deadline of Oct. 31 looks very unlikely, Dutch Prime Minister Mark Rutte said on Thursday.","new, brexit, delay, likely, last, dutch, pm, rutte","delay, britain, s, departure, eu, newly, agreed, deadline, oct, looks, unlikely, dutch, prime, minister, mark, rutte, said, thursday"
"123","2019-04-11","EU's Juncker sure UK would honour good cooperation rules during Brexit lag","European Commission President Jean-Claude Juncker said he was certain Britain would honour the ""sincere cooperation"" obligation and would in any case have little power to block key EU decisions on its own during a second Brexit lag until Oct. 31.","eu, s, juncker, sure, uk, honour, good, cooperation, rules, brexit, lag","european, commission, president, jean, claude, juncker, said, certain, britain, honour, sincere, cooperation, obligation, case, little, power, block, key, eu, decisions, second, brexit, lag, oct"
"124","2019-04-11","Irish PM says UK would crash out June 1 without EU elections","Irish Prime Minister Leo Varadkar said on Thursday the United Kingdom would crash out of the EU on June 1 if it failed to hold European Parliament elections during a Brexit extension granted until the end of October, 2019.","irish, pm, says, uk, crash, june, without, eu, elections","irish, prime, minister, leo, varadkar, said, thursday, united, kingdom, crash, eu, june, failed, hold, european, parliament, elections, brexit, extension, granted, end, october"
"125","2019-04-11","EU27/UK agree to Brexit extension until Oct 31 - EU's Tusk","Leaders of the 27 countries remaining in the European Union and British Prime Minister Theresa May have agreed to extend Britain's date of departure from the bloc until October 31, the chair of EU summits said in a tweet on Thursday.","eu, uk, agree, brexit, extension, oct, eu, s, tusk","leaders, countries, remaining, european, union, british, prime, minister, theresa, may, agreed, extend, britain, s, date, departure, bloc, october, chair, eu, summits, said, tweet, thursday"
"126","2019-04-10","EU27 leaders agree Brexit extension - summit chair Tusk","The leaders of the 27 EU countries remaining in the European Union have agreed to an extension of Brexit, the chairman of EU summits said in a tweet on Thursday.","eu, leaders, agree, brexit, extension, summit, chair, tusk","leaders, eu, countries, remaining, european, union, agreed, extension, brexit, chairman, eu, summits, said, tweet, thursday"
"127","2019-04-10","PM May not close to breaking Brexit deadlock with opposition - Labour's McDonnell","Talks between British Prime Minister Theresa May's government and the opposition Labour Party are not close to breaking the Brexit deadlock, Labour's finance spokesman John McDonnell said on Wednesday.","pm, may, close, breaking, brexit, deadlock, opposition, labour, s, mcdonnell","talks, british, prime, minister, theresa, may, s, government, opposition, labour, party, close, breaking, brexit, deadlock, labour, s, finance, spokesman, john, mcdonnell, said, wednesday"
"130","2019-04-10","Snap! Jolly Merkel breaks Brexit summit ice with May","Angela Merkel says she is determined that Brexit must not poison relations between Britain and the European Union and went out of her way at a crisis summit on Wednesday to show her lighter side to Theresa May.","snap, jolly, merkel, breaks, brexit, summit, ice, may","angela, merkel, says, determined, brexit, must, poison, relations, britain, european, union, went, way, crisis, summit, wednesday, show, lighter, side, theresa, may"
"131","2019-04-10","Macron speaks against long Brexit delay at EU summit - diplomats","French President Emmanuel Macron told his European Union peers on Wednesday any Brexit delay beyond June 30 would undermine the bloc, diplomatic sources said.","macron, speaks, long, brexit, delay, eu, summit, diplomats","french, president, emmanuel, macron, told, european, union, peers, wednesday, brexit, delay, beyond, june, undermine, bloc, diplomatic, sources, said"
"132","2019-04-10","Brexit delay could extend term of Juncker Commission - EU official","European Union officials are considering an extension of the EU commission's mandate should Britain be granted a long delay to its planned exit date, a senior official said on Wednesday.","brexit, delay, extend, term, juncker, commission, eu, official","european, union, officials, considering, extension, eu, commission, s, mandate, britain, granted, long, delay, planned, exit, date, senior, official, said, wednesday"
"133","2019-04-10","No-deal Brexit not the worst option, French official says","A departure of Britain from the EU without a deal might be preferable than obstruction of EU operations by the British if they were to remain a member against their will, a spokesman for French President Emmanuel Macron said on Wednesday.","deal, brexit, worst, option, french, official, says","departure, britain, eu, without, deal, might, preferable, obstruction, eu, operations, british, remain, member, will, spokesman, french, president, emmanuel, macron, said, wednesday"
"134","2019-04-10","EU steps up defences against British meddling during Brexit extension - draft","European Union will have more meetings without Britain and will demand the country refrains from undermining the bloc ""in particular when participating in the decision-making processes"" during an extension, according to updated draft conclusions.","eu, steps, defences, british, meddling, brexit, extension, draft","european, union, will, meetings, without, britain, will, demand, country, refrains, undermining, bloc, particular, participating, decision, making, processes, extension, according, updated, draft, conclusions"
"135","2019-04-10","PM May open to longer Brexit delay if it can be cut short - EU officials","Prime Minister Theresa May signalled to other EU leaders on Wednesday she was open to accepting a longer Brexit delay if she could cut it short, EU officials said, describing her performance at a summit as ""more solid than usual"".","pm, may, open, longer, brexit, delay, can, cut, short, eu, officials","prime, minister, theresa, may, signalled, eu, leaders, wednesday, open, accepting, longer, brexit, delay, cut, short, eu, officials, said, describing, performance, summit, solid, usual"
"136","2019-04-10","A pop-up studio captures Londoners in Brexit's troubled age","""What do you want to take a picture of me for?""","pop, studio, captures, londoners, brexit, s, troubled, age","want, take, picture"
"137","2019-04-10","Highlights: EU leaders meet to give Britain second Brexit delay under conditions","European Union leaders meet in Brussels on Wednesday to grant Britain a second Brexit delay, with France pushing the hardest demands on London among the 27 states staying on together in the bloc.","highlights, eu, leaders, meet, give, britain, second, brexit, delay, conditions","european, union, leaders, meet, brussels, wednesday, grant, britain, second, brexit, delay, france, pushing, hardest, demands, london, among, states, staying, together, bloc"
"139","2019-04-10","Macron says long Brexit delay shouldn't be taken for granted","French President Emmanuel Macron said on Wednesday he was impatient to hear more from Prime Minister Theresa May on why European Union leaders should grant Britain an extension to the Brexit negotiation period.","macron, says, long, brexit, delay, shouldn, t, taken, granted","french, president, emmanuel, macron, said, wednesday, impatient, hear, prime, minister, theresa, may, european, union, leaders, grant, britain, extension, brexit, negotiation, period"
"140","2019-04-10","Brexit-hungry media to be turfed off grassy patch outside UK parliament","After months of gruelling political perma-crisis, Brexit is taking its toll on the British political establishment - not least the small patch of grass opposite parliament that has become a makeshift home to the world's media.","brexit, hungry, media, turfed, grassy, patch, outside, uk, parliament","months, gruelling, political, perma, crisis, brexit, taking, toll, british, political, establishment, least, small, patch, grass, opposite, parliament, become, makeshift, home, world, s, media"
"141","2019-04-10","May says she aims to secure delay for orderly Brexit","Prime Minister Theresa May said on Wednesday she was asking EU leaders to delay the Brexit deadline to June 30 so she could get approval from parliament for her deal and ensure Britain leaves the European Union in an orderly way.","may, says, aims, secure, delay, orderly, brexit","prime, minister, theresa, may, said, wednesday, asking, eu, leaders, delay, brexit, deadline, june, get, approval, parliament, deal, ensure, britain, leaves, european, union, orderly, way"
"142","2019-04-10","Germany, France back shorter Brexit delay ahead of EU summit - document","Germany, France, Luxembourg and the EU's Brexit negotiator Michel Barnier favoured a shorter delay to Britain's departure from the bloc in talks on the eve of a summit of EU leaders in Brussels, a document seen by Reuters showed.","germany, france, back, shorter, brexit, delay, ahead, eu, summit, document","germany, france, luxembourg, eu, s, brexit, negotiator, michel, barnier, favoured, shorter, delay, britain, s, departure, bloc, talks, eve, summit, eu, leaders, brussels, document, seen, reuters, showed"
"143","2019-04-10","Belgian PM Michel says Brexit delay remains uncertain","Belgian Prime Minister Charles Michel said it remained unclear whether Britain would receive an extension on the deadline for its withdrawal from the bloc ahead of a meeting of EU leaders on Wednesday to discuss Brexit.","belgian, pm, michel, says, brexit, delay, remains, uncertain","belgian, prime, minister, charles, michel, said, remained, unclear, whether, britain, receive, extension, deadline, withdrawal, bloc, ahead, meeting, eu, leaders, wednesday, discuss, brexit"
"144","2019-04-10","Merkel favours giving UK ""reasonable amount of time"" to resolve Brexit","Britain should be given a reasonable amount of time to work out its exit from the European Union, though the delay to Brexit could be longer than British Prime Minister Theresa May has requested, German Chancellor Angela Merkel said on Wednesday.","merkel, favours, giving, uk, reasonable, amount, time, resolve, brexit","britain, given, reasonable, amount, time, work, exit, european, union, though, delay, brexit, longer, british, prime, minister, theresa, may, requested, german, chancellor, angela, merkel, said, wednesday"
"146","2019-04-10","May says view on second Brexit referendum has not changed","British Prime Minister Theresa May said on Wednesday her opposition to holding a second Brexit referendum had not changed, but she expected some lawmakers may try to push for one during the process of ratifying her EU exit deal.","may, says, view, second, brexit, referendum, changed","british, prime, minister, theresa, may, said, wednesday, opposition, holding, second, brexit, referendum, changed, expected, lawmakers, may, try, push, one, process, ratifying, eu, exit, deal"
"147","2019-04-10","Dutch PM Rutte says he spoke to Theresa May ahead of EU summit","Dutch Prime Minister Mark Rutte said in a tweet he had spoken to British counterpart Theresa May ahead of an emergency European Council summit on Wednesday at which the bloc's leaders will discuss a second delay to Brexit.","dutch, pm, rutte, says, spoke, theresa, may, ahead, eu, summit","dutch, prime, minister, mark, rutte, said, tweet, spoken, british, counterpart, theresa, may, ahead, emergency, european, council, summit, wednesday, bloc, s, leaders, will, discuss, second, delay, brexit"
"148","2019-04-10","Austria says any further Brexit extension must be for clear reason","Any further extension of the period leading up to Britain's departure from the European Union should be for a clear reason, Austria's minister for European affairs Gernot Bluemel said on Wednesday.","austria, says, brexit, extension, must, clear, reason","extension, period, leading, britain, s, departure, european, union, clear, reason, austria, s, minister, european, affairs, gernot, bluemel, said, wednesday"
"149","2019-04-10","Denmark's PM to push for longer extension to Brexit delay","Denmark's prime minister said he would recommend a long extension to Brexit, a delay to which is expected to be granted to the UK by EU leaders at an emergency summit on Wednesday.","denmark, s, pm, push, longer, extension, brexit, delay","denmark, s, prime, minister, said, recommend, long, extension, brexit, delay, expected, granted, uk, eu, leaders, emergency, summit, wednesday"
"150","2019-04-10","Britain's Brexit minister says - I don't want a long delay","Prime Minister Theresa May's Brexit minister said on Wednesday he did not want Britain's departure from the European Union to be delayed for up to a year but indicated he would accept one if it was flexible enough to allow an earlier exit.","britain, s, brexit, minister, says, don, t, want, long, delay","prime, minister, theresa, may, s, brexit, minister, said, wednesday, want, britain, s, departure, european, union, delayed, year, indicated, accept, one, flexible, enough, allow, earlier, exit"
"151","2019-04-10","Germany's Scholz says still confident UK parliament will OK Brexit deal - CNBC","German Finance Minister Olaf Scholz told CNBC he was ""still confident"" that the UK parliament will agree on a Brexit deal, adding that talks between the UK government and the opposition Labour Party were good for both Europe and Britain.","germany, s, scholz, says, still, confident, uk, parliament, will, ok, brexit, deal, cnbc","german, finance, minister, olaf, scholz, told, cnbc, still, confident, uk, parliament, will, agree, brexit, deal, adding, talks, uk, government, opposition, labour, party, good, europe, britain"
"152","2019-04-09","EU to agree Brexit delay but France pushes for conditions","European Union leaders will grant Prime Minister Theresa May a second delay to Brexit but they could demand she accepts a much longer extension as France pushed for conditions to limit Britain's ability to undermine the bloc.","eu, agree, brexit, delay, france, pushes, conditions","european, union, leaders, will, grant, prime, minister, theresa, may, second, delay, brexit, demand, accepts, much, longer, extension, france, pushed, conditions, limit, britain, s, ability, undermine, bloc"
"153","2019-04-09","Labour's Corbyn met DUP's Dodds to try to break Brexit deadlock - Daily Mirror","Britain's Labour Party leader Jeremy Corbyn met Northern Irish Democratic Unionist Party (DUP)'s deputy leader Nigel Dodds, the DUP's lawmaker Sammy Wilson on Tuesday as part of the opposition party's talks with MPs to break Brexit deadlock, the Daily Mirror reported on Tuesday.","labour, s, corbyn, met, dup, s, dodds, try, break, brexit, deadlock, daily, mirror","britain, s, labour, party, leader, jeremy, corbyn, met, northern, irish, democratic, unionist, party, dup, s, deputy, leader, nigel, dodds, dup, s, lawmaker, sammy, wilson, tuesday, part, opposition, party, s, talks, mps, break, brexit, deadlock, daily, mirror, reported, tuesday"
"154","2019-04-09","Finance minister says lawmakers might revoke Brexit to prevent no deal -Telegraph","British finance minister Philip Hammond raised the prospect of lawmakers revoking Article 50 this week rather than allowing Britain to leave the European Union without a deal if talks collapse, the Telegraph reported on Tuesday.","finance, minister, says, lawmakers, might, revoke, brexit, prevent, deal, telegraph","british, finance, minister, philip, hammond, raised, prospect, lawmakers, revoking, article, week, rather, allowing, britain, leave, european, union, without, deal, talks, collapse, telegraph, reported, tuesday"
"155","2019-04-09","May considering plan to let lawmakers work out Brexit deal if talks fail - report","British Prime Minister Theresa May is considering a new plan to introduce legislation that would allow lawmakers to thrash out a compromise Brexit deal among themselves, if talks with the opposition Labour party fail, The Guardian reported on Tuesday.","may, considering, plan, let, lawmakers, work, brexit, deal, talks, fail, report","british, prime, minister, theresa, may, considering, new, plan, introduce, legislation, allow, lawmakers, thrash, compromise, brexit, deal, among, talks, opposition, labour, party, fail, guardian, reported, tuesday"
"156","2019-04-09","Second Brexit delay could last until end-March 2020 - EU official","The European Union's second Brexit delay could go on until March 30, 2020, an official with the bloc said, as 27 national envoys were preparing for a leaders' summit on Wednesday that is due to decide on the matter.","second, brexit, delay, last, end, march, eu, official","european, union, s, second, brexit, delay, go, march, official, bloc, said, national, envoys, preparing, leaders, summit, wednesday, due, decide, matter"
"157","2019-04-09","U.S. Treasury Secretary says U.S. preparing for 'hard Brexit'","U.S. Treasury Secretary Steven Mnuchin on Tuesday told lawmakers the Trump administration is preparing for the possibility of a ""hard Brexit"".","u, s, treasury, secretary, says, u, s, preparing, hard, brexit","u, s, treasury, secretary, steven, mnuchin, tuesday, told, lawmakers, trump, administration, preparing, possibility, hard, brexit"
"158","2019-04-09","EU to agree further Brexit delay but could kick UK out on June 1 - draft","The European Union will grant Britain another delay to Brexit on certain conditions, including that it holds European Parliament elections, according to a draft statement by the bloc's national leaders, who are due to decide on the matter on Wednesday.","eu, agree, brexit, delay, kick, uk, june, draft","european, union, will, grant, britain, another, delay, brexit, certain, conditions, including, holds, european, parliament, elections, according, draft, statement, bloc, s, national, leaders, due, decide, matter, wednesday"
"159","2019-04-09","PM May outlines to France's Macron talks with opposition Labour Party","British Prime Minister Theresa May updated French President Emmanuel Macron on discussions with the opposition Labour Party aimed at finding a way out the Brexit impasse, her office said on Tuesday.","pm, may, outlines, france, s, macron, talks, opposition, labour, party","british, prime, minister, theresa, may, updated, french, president, emmanuel, macron, discussions, opposition, labour, party, aimed, finding, way, brexit, impasse, office, said, tuesday"
"160","2019-04-09","EU's Tusk proposes Brexit delay up to one year, with early exit option","The chairman of European Union leaders Donald Tusk proposed on Tuesday to offer Britain an extension of the Brexit deadline by up to one year, with the option of leaving earlier, if only Britain ratifies the existing withdrawal agreement.","eu, s, tusk, proposes, brexit, delay, one, year, early, exit, option","chairman, european, union, leaders, donald, tusk, proposed, tuesday, offer, britain, extension, brexit, deadline, one, year, option, leaving, earlier, britain, ratifies, existing, withdrawal, agreement"
"161","2019-04-09","Labour sees no clear shift in May's Brexit position","The Labour Party said it had not yet seen a clear shift in Prime Minister Theresa May's position after talks with the government on Tuesday aimed at finding a way out the Brexit impasse.","labour, sees, clear, shift, may, s, brexit, position","labour, party, said, yet, seen, clear, shift, prime, minister, theresa, may, s, position, talks, government, tuesday, aimed, finding, way, brexit, impasse"
"162","2019-04-09","MPs approve May's plan to seek Brexit delay to June 30","MPs on Tuesday approved Prime Minister Theresa May's plan to seek to delay Britain's exit from the European Union to June 30 while she tries to reach a compromise with the opposition Labour Party to get her deal through parliament.","mps, approve, may, s, plan, seek, brexit, delay, june","mps, tuesday, approved, prime, minister, theresa, may, s, plan, seek, delay, britain, s, exit, european, union, june, tries, reach, compromise, opposition, labour, party, get, deal, parliament"
